748: 966,1104,1009,437,914,234
1198: 444,1020,1108,1199,417
750: 871,530,562,114,875
751: 408,0,1164,589,1119,597
752: 1091,295,113,111
753: 498,1214,348,86
754: 23,945,823,795,822,1049
755: 380,648,243,733,456,164
1174: 1168,1032,855,56,976,1107
757: 760,75,957,1051,1197
758: 305,236,735,339,476,25
759: 713,263,255,58,878,481
760: 757,75,957,763,1050,3
761: 70,513,119,408,341,878
762: 866,33,55,19,11,794
763: 760,957,195,847,46,3
1168: 1064,1032,1174,855,1,915
765: 1128,1001,208,1066,545
1229: 269,846,343,804,725,1073
767: 675,645,810,1096,508,214,176,632
768: 347,1024,433,1066,1012
769: 256,990,357,209,1000,998
770: 1093,115,457,1092,1162
771: 124,606,95,539
1240: 121,710,1149,1228,455
773: 314,1209,149,527,345,694
774: 258,298,514,350,1027
775: 222,877,1046
776: 1245,317,174,1234,289
777: 1234,60,174,1091
778: 1170,260,179,1219,357
779: 801,854,829,788,393
780: 132,452,815,700
781: 262,588,328,177,248,664
782: 688,316,264,980,917,181
783: 37,811,1119,266,1164
784: 395,919,560,672,296,32
785: 881,852,282,979,369
786: 1185,1132,333,99,118,1110
787: 601,1238,367,708
788: 656,829,1141,779,97
789: 661,925,571,34,210
790: 801,854,528,606,524,246
791: 268,574,278,336,1147,253,977
792: 205,354,304,411,590,874
793: 963,695,469,219,1225
794: 686,19,79,1190,762,55
795: 822,928,23,754,530
796: 947,1045,199,924,845,967,59
797: 864,77,1055
798: 161,1030,1047,91,460,1096,214
799: 195,847,59,622,1021,947
800: 929,1233,710,623
801: 790,854,779,124,606,829
802: 553,809,925,571,824
803: 690,1243,1127,9,649,163
804: 983,725,292,34,1229,1073
805: 271,956,125,637,961
806: 52,966,1104,467,69,697
807: 65,833,866,33,226,828
808: 1041,1051,1197,855,915,488
809: 802,858,824,419,302
810: 675,645,767,466,460,1096,146,214
811: 783,37,839,1095,266
1213: 1020,1108,436,1044,630
813: 325,663,215,447,658,887
814: 832,501,270,939,1097
815: 624,700,610,780
816: 1204,57,579,317,98
1233: 651,948,710,623,800
818: 1125,1195,1194,975,1130
819: 433,1052,1002,1125,534,347
820: 1084,1036,734,860,453,155
821: 975,474,1004,1010,509,10,891
822: 1231,795,754,867,1049
823: 206,584,945,754,1049,909
824: 538,419,80,809,802,571
825: 238,992,310,242,63,888
826: 599,885,117,726
827: 173,1184,1037,230,955,1151
828: 376,620,807,866,483,226
829: 656,788,124,418,801,779
830: 961,652,254,1140,186,314
831: 598,873,165,520,178,326
832: 814,501,40,939,356
833: 807,65,559,181,981,316,33
834: 355,985,888,238,360,685
835: 1053,1017,671,36
836: 309,899,86,498,251,375
837: 677,858,608,492,419,951
838: 863,283,363,926,389
839: 391,401,450,811
840: 1033,45,723,146,1065,717
841: 555,682,884,237
842: 736,16,309,899
843: 735,227,904,131,683,564
844: 1017,1183,942,5
