690: 663,607,163,803,447,435
691: 774,876,201,1077,428,722,101,287
692: 722,749,287,443,221,974
693: 1129,92,1120,1008,127,962,139
694: 993,1167,1209,797,68,300,77
695: 187,203,493,963,793
696: 451,938,701,550,225,87
697: 734,1084,1150,1172,613,989
698: 525,849,1078,336,591,1028
699: 629,747,555,884
700: 431,452,640,610,624,815
701: 451,696,264,640,87,688
702: 7,913,351,212,526,304
703: 482,580,502,1137,432,324,141,500
704: 594,850,412,506,359,862
705: 674,325,329,288,542,1054
706: 504,633,85,28,1203,459
707: 132,378,483,1182
708: 415,367,886,787
709: 631,1152,1007,228,420,732,267
710: 800,455,623
711: 745,488,757,75,96,605
712: 4,1204,883,315,968,57
713: 58,641,263,759,628
714: 671,133,339,227,835,1053
715: 587,1019,160,657,337
716: 167,377,856,172,6,215
717: 1065,645,352,1124,208,1128
718: 990,209,546,323,869,276
719: 744,673,726,885,626,216
720: 904,84,628,156,1189,198
721: 966,429,353,52,557
722: 12,692,428,749,101,287,691,201,569
723: 370,509,146,840,10,901,684,371,821,891
724: 104,544,2,950,353,557
725: 614,846,269,292,343,804
726: 117,477,937,885,826,719,744
727: 1210,342,312,1085,464,31
728: 613,69,578,243,1172
729: 866,376,1018,116,332
730: 900,436,337,587,572,361
731: 533,478,1087,1048
732: 267,1025,709,619,1029
733: 1145,1027,456,1191,648,164
734: 697,1084,153,155,820,989
735: 843,758,131,1021,1006,564
736: 16,899,842,567,585
737: 825,985,779,40,1086
738: 893,543,528,1003,969
739: 1148,1016,923
740: 1128,1078,522,24,1124,971,525
741: 863,289,1091,473
742: 160,657,642,48,1041,468
743: 1033,45,1010,1002,294
744: 719,659,673,788,726,937
745: 75,711,96,603,416,642
746: 563,183,581,1127
747: 629,699,27,604,884,680
748: 537,1104,107,437,806,467
749: 12,692,722,101,569,373,221,974
750: 114,972,875,562,871,530
751: 1151,0,408,589,1164,597
752: 111,1091,662,776
753: 498,1214,86,348
754: 206,23,584,822,1130,1066
755: 578,243,129,274,52,1063,497
756: 176,547,654,1016,775,346
757: 488,75,711,760,3
758: 843,735,339,1006,476,1131
759: 263,255,878,58,713,513
760: 592,957,763,3,757
761: 1106,878,119,70,1163,341
762: 609,19,11,807,33,794
763: 46,85,143,3,760,957
764: 482,580,1105,1071,1015
765: 1052,618,1033,366,239,545
766: 907,772,930,200
767: 50,224,573,1014,877,810
768: 918,439,618,545,192,126,120
769: 990,209,1000,953,998,256
770: 870,457,1069,67,115,1056
771: 418,539,124,95
772: 808,907,1168,766,491,855,976,200
773: 149,527,1185,314,1167
774: 298,350,691,876,201,1077,101
775: 1014,222,89,176,756,346
776: 662,396,317,174,752,111
777: 317,1178,1190,60,113,174
778: 179,323,1170,260,357
779: 985,737,854,393,1086
780: 815,452,132
781: 262,588,248,328,850
782: 833,316,559,30,181,1135,980
783: 266,381,1184,512,1164,1151
784: 919,395,672,296,32,560
785: 445,193,369,852,327
786: 909,1132,1110,99,916,330
787: 601,997,367,708
788: 659,744,673,1141,97,489
789: 80,34,1161,1171,661,210
790: 63,854,801,246,124,606
791: 102,152,910,1147,278,268
792: 653,304,205,351,411,590
793: 384,1050,187,695,970
794: 1160,33,19,762,188,55
795: 928,424,822,965,945,23
796: 195,199,231,967,817,903,465
797: 864,68,694,77
798: 508,460,180,627,388,1079
799: 257,847,1045,947,46,15
800: 710,455,1149,929
801: 790,854,124,418,656
802: 1094,419,809,1122
803: 163,649,134,307,435,690
804: 292,343,1013,614,725,1120
805: 271,125,956,637,1140
806: 467,1150,748,1118,437,1084
807: 226,833,559,11,762,33
808: 907,1168,772,1051,441
809: 553,1122,571,1094,802,80
810: 1047,517,460,573,224,767
811: 1186,839,173,1038,1037,827
1213: 1199,900,1059,1144,1020
813: 658,887,215,663,856,325
814: 1180,1081,939,1069,1092,67
815: 780,452,700,624
816: 57,579,1101,1204,1178,98
817: 930,967,199,796,907,465
818: 521,510,819,454,975,644,1004
819: 1012,454,975,433,521,818
820: 155,860,72,319,734,153
821: 898,371,891,1194,723,509,474,1010
822: 795,928,754,23,1130,241
823: 867,1066,1125,1130,247,1049
824: 538,1094,162,106,1116
825: 250,985,737,40,242,360
826: 599,885,117,726
827: 1038,173,811,839,401,470
828: 866,376,1121,226,1160,33
829: 1141,97,1086
830: 149,961,1100,1055,186,314
831: 598,873,326,165,520,178
832: 356,501,49,398,446,285
833: 807,226,316,559,782,65
834: 1156,666,685,40,1162,360
835: 36,227,671,714
836: 309,899,498,86,251,375
837: 677,858,419,608,951,538
838: 863,289,389,213,283,363
839: 1186,391,811,173,1027,827
840: 723,509,146,1065,45,1010,414
841: 555,682,884,1216,237
842: 309,899,736,16
843: 758,735,339,683,1021,227
844: 954,942,5,1017,1183
845: 924,405,1126,967,1005
846: 1117,614,269,725,364,523
847: 257,799,1045,59,678,249
848: 1030,1177,1163,955,230,959,1148
849: 525,1139,698,1107,971,110,1028
850: 594,704,781,248,328,412
851: 148,184,387,399
852: 179,546,327,785,445,1039
853: 569,1096,17,35,1077,101
854: 63,790,393,801,779
855: 596,491,976,1043,200,1168,772,1174
856: 716,172,215,813,325,329
857: 871,530,386,241,1195,647
858: 677,837,419,302,375
859: 62,979,282,881
860: 155,820,72,615,486,1036
861: 137,1211,1095,494,37,1068
862: 1212,359,704,506,193,369
863: 289,838,926,741,473
864: 797,68,229,655
865: 481,513,897,1106,1026
866: 376,828,729,1160,620,1018
867: 823,1066,584,909,1132,1049
868: 552,977,880,910,253
869: 1039,546,718,276
870: 551,457,770,14,1015,1056
871: 562,530,857,750,1195
872: 1203,25,476,236,28,15
873: 598,831,435,217,326,583
874: 379,411,18,590
875: 889,503,972,750,154,562
876: 774,350,691,201,1081,1072
877: 1014,89,1062,50,767,303
878: 1106,761,58,341,513,759
879: 152,312,253,342
880: 239,1208,545,868,977,120,253
881: 994,859,282,445
882: 108,888,479,250,934,1054
883: 991,630,1020,315,57,712
884: 555,682,841,699,747,680
885: 599,122,826,117,726,719,216
886: 415,708,535,185
887: 658,813,1070,447,410,663
888: 108,882,612,393,250,985
889: 503,875,100,972
890: 398,1142,1067,41,987,1105
891: 898,371,821,516,10,684,723,370,509
892: 438,665,565
893: 738,9,543
894: 141,22,1042,427,1040,499
895: 189,949,367,668,601
896: 918,1024,534
897: 231,865,481,1026,924,903
898: 821,891,1194,516,123,169
899: 836,309,842,251,736,567
900: 730,436,1059,1213,1020,315,572
901: 1103,684,1031,675,723,146,645
902: 150,480,338,271,531,125
903: 967,924,231,897,796
904: 84,720,622,131,198,564
905: 623,473,651
906: 335,1036,989,402,137,982
907: 808,766,772,1051,930,817,200,465
908: 609,19,940,374,1205,79
909: 786,1132,99,584,333,867
910: 152,791,253,552,868,977,1147
911: 1205,47,413
912: 1099,1097,489,673,240,544
913: 7,702,361,968,572,526
914: 20,299,1009,1104,234,1136
