486: 135,570,1266,421,1036,409
487: 279,448,1,1020,1198
488: 760,757,592,1059,605,603
1236: 887,479,1251,410,447,625
1216: 680,1146,682,196,503
1224: 52,966,234,721,129,274
492: 344,511,290,837,608,951
493: 1275,166,695,963,93
494: 137,1258,982,839,450,37
495: 65,688,316,575,1291
496: 58,878,408,119,513
1181: 1280,554,94
498: 753,1214,677,836,86,375
1187: 941,1029,10,1152,621
1155: 471,665,1272,1263
501: 1273,1283,814,49,1286,1290
1219: 597,558,260,357,1000,1023
503: 1276,1216,1146,196,185,1239
504: 3,15,1050,85,28,633
505: 1193,1080,322,472,1143
506: 157,664,1299,453,1260,382
507: 534,333,819,454,1167
508: 645,146,675,208,632,214,1085,717
509: 1040,10,1010,1008,621,684
510: 462,521,616,818,463
511: 344,492,667,103,586,608
512: 37,811,1288,1119,783
513: 119,1296,878,496,865
514: 426,1278,298,350,1302
515: 1076,1005,1019,1126,1184,1151
1265: 820,1084,1299,155,1260
517: 573,352,1030,1062,1046,798
1292: 1160,1213,883,1108,1044,315
519: 449,693,614,432,210,846,1073,139
1129: 1071,1011,1169,551,1117,1157
521: 510,616,1152,1130,975,818
1195: 840,1125,1002,45,1049
1147: 224,24,740,439,727,374,192
524: 669,246,54,1088,528,790
525: 1154,1198,268,417,233
526: 212,617,702,913,4,354
527: 225,1100,936,773,345
528: 984,1088,606,95,524,790
529: 55,33,762,794,31,1058
530: 1294,871,750,928,386,795
531: 43,271,338,902,291,958
532: 1054,331,288,394,1250,660
1220: 604,27,747,884,680
534: 507,819,644,818,463,454
535: 196,185,237,886
536: 418,138,477,937,659,656
537: 299,1009,437,107
538: 824,419,1253,162,182
539: 418,138,124,771
540: 641,1189,1023,0,558,58
541: 652,229,43,946,136
1297: 34,80,1259,987,931,661
543: 893,738,1223,9,1217,163
544: 724,104,950,240,912,933
545: 1066,1085,433,1077,740
546: 179,327,718,852,869,994
1175: 1215,280,1222,1158,932,676
548: 712,1204,98,213,4,617
549: 599,122,20,299
550: 225,1100,1110,916,696,938
551: 1169,285,446,41,1117,1129
1244: 1218,93,921
553: 809,802,571,292,142,1013
554: 1176,731,94,412,1181
555: 884,841,699,747
1149: 455,710,1240,929,1165
557: 721,461,274,1300,456
558: 597,1219,751,0,540,1023
1251: 1217,410,669,54,1236,625
560: 672,1303,395,784,267,296
1266: 486,570,422,72,1084,1036
562: 1294,871,875,154,306,189,857
563: 746,581,183,1114,1111,425
564: 843,236,872,84,904,249
565: 892,1272,746,183,665
566: 988,6,21,106,162
567: 585,368,899,251,978,736
568: 413,971,278,19,31,762
1192: 472,1193
570: 135,486,1266,422
571: 34,80,553,802,1013
572: 361,913,730,7,968,900
573: 352,517,1030,1012,1001,1139
1289: 269,846,364,600,672,1173
575: 700,452,431,688,495,1291,1121
576: 416,1082,715,468,1207,337
577: 780,815,610,311
578: 1235,402,989,728,697,61
579: 57,816,991,204,634,1101
1151: 1172,1184,1076,515,1163,1043
581: 563,746,183,1114
582: 629,699,646,170
583: 598,873,438,134,435,607
584: 206,754,454,823,909,1167
585: 368,567,736,38,1221
586: 358,103,511,1214,348,608
587: 442,7,337,611,715,160
588: 781,262,1269,602,301,1176
589: 340,1074,1119,440,751,1164,597
590: 792,205,8,874,948,653
1230: 912,639,933,355,685,666
592: 1045,757,488
593: 1060,118,1024,126,30
1185: 867,909,1132,936,1285,1100
1246: 1290,1254,67,1261,457
1223: 543,893,9,1127
597: 1219,558,260,589,440,751
598: 583,873,831,438,165,1061
599: 122,885,826,549
600: 395,676,919,364,1289,672
601: 964,1238,787,367,895
602: 81,308,421,301,262,588
603: 711,745,760,488,1050,605
604: 784,27,1220,32,296,1025
605: 1020,96,1059,488,711,603
606: 124,95,771,528,801,790
607: 215,663,435,583,873,217
608: 677,837,586,511,492,1214
1164: 408,751,1119,589,266,783
610: 815,87,993,1034,311,577
611: 657,715,109,74,587,160
612: 242,63,246,854,393,250,108
613: 467,69,734,153,1268,820,319
614: 519,846,1173,1007,139
615: 704,248,177,1039,157,664
616: 462,521,510,941,1152,996
617: 212,526,548,213,4,283
1125: 840,1195,1049,644,819,194
619: 484,424,732,29
620: 55,794,686,866,1091,1018
621: 1152,684,509,10,1187
