515: 1076,1126,1019,1014,1151,1184
1265: 820,1084,1299,155,1260,664
517: 573,1139,1052,1046,1062,352,798
1292: 1160,1213,1044,57,991,883
519: 139,432,1229,1073,846,614
1129: 1071,1011,1169,551,1117,1157
521: 616,1152
1195: 840,1125,45,208,1049
1147: 1135,740,24,917,439,374
524: 669,246,54,1088,528,790
525: 1198,487,417,233,1199
526: 212,617,4,702,913,354
527: 225,936,149,773,345
528: 984,1088,606,95,524,790
529: 65,1305,940,31,762,33
530: 1294,871,750,928,386,795
531: 43,271,338,902,291,958
532: 331,1310,394,1250,403,660
1220: 604,27,747,884,211,680
534: 507,819,644
535: 196,185,237,886
536: 418,138,656,477,937,659
537: 299,1009,437,107
538: 824,419,1253,162,182
539: 418,138,124,771
540: 1023,1189,1312,1315,558,58,0,641
541: 652,229,43,946,136
1297: 34,80,931,661,789
543: 893,738,1223,9,1217,163
544: 724,104,950,240,912,933
545: 1002,1077,1135,740,768
546: 179,327,718,852,869,994
1175: 1215,280,1222,1158,932,676
548: 712,1204,617,4,213,98
549: 599,122,20,299
550: 225,1100,696,938,916
551: 1169,285,1094,41,1129
1244: 1218,93,921
553: 809,802,571,292,142
554: 731,1087,94,412,1181
555: 884,841,699,747
1149: 1165,710,1240,455,929
557: 721,461,274,1300,456
558: 597,1219,1315,1074,1023,540
1251: 1217,410,669,54,1236,625
560: 672,1316,395,784,267,296
1266: 486,570,422,72,1084,1036
562: 1294,875,154,306,189,857
563: 746,581,1114,1111,425,649
564: 843,476,872,84,904,249
565: 892,1272,746,183,665
566: 988,6,162,329,21,106
567: 585,368,899,251,978,736
568: 188,1178,643,971,413,1058
1192: 472,1193
570: 135,486,1266,422
571: 553,802,1253,34,80
572: 361,913,730,7,968,900
573: 517,1139,1052,1046,1030,1012
1289: 269,846,364,600,672,1173
575: 700,452,431,688,495,1291,1121
576: 416,1082,715,468,1207,337
577: 780,815,610,311
578: 1235,402,989,728,61,168
579: 57,816,991,204,634,1101
1151: 515,1014,1172,1184,1163,1043
581: 563,746,183,1114
582: 629,699,646,170
583: 598,873,438,134,435,607
584: 206,754,454,909,1167
585: 368,567,736,38,197
586: 358,103,511,1214,348,608
587: 442,7,337,611,715,160
588: 781,262,602,301,1176,328
589: 1298,1119,440,340,1074,597
590: 653
1230: 912,639,933,355,685,666
592: 1197,957,1045,1059,757
593: 118,1060,1024,30,439
1185: 1100,867,909,1132,936
1246: 1290,1254,67,1261,457
1223: 543,893,9,1127
597: 1219,260,558,589,440,1074
598: 583,873,438,165,1061,831
599: 122,885,826,549
600: 395,676,919,364,1289,672
601: 964,1238,787,367,895
602: 81,308,421,301,262,588
603: 711,605,1089,488,1050,745
604: 784,27,1220,296,1025,211
605: 711,603,1059,488,915
606: 124,95,771,528,801,790
607: 215,663,435,583,873,217
608: 677,837,586,511,1214
1164: 751,1074,1119,266,783
610: 815,624,87,993,1034,311,577
611: 657,715,109,74,587,160
612: 242,63,393,250,108
613: 467,69,734,153,820,319
614: 1007,407,846,139,519,1173
615: 704,248,177,1269,157,1039
616: 462,521,510,941,1152
617: 212,526,4,548,213,283
1125: 840,1195,644,1049,819,194
619: 484,424,732,1179,29
620: 686,1091
621: 1152,684,509,10,1187
1303: 267,1316,1007,1279
623: 905,651,1233,800
624: 815,87,610,451,700,431,132
625: 250,108,1251,669,1236,479
626: 216,719,144,673,240,950
627: 223,1134,449,1015,180,202
628: 713,720
629: 699,747,582,170,32,27
1261: 67,774,350,952,1246,1254
1141: 829,788,1284,656,659
632: 352,798,214,508,1066,1085
633: 742,1287,504,28,459,706
634: 1255,1018,204,579,1101
635: 376,295,483,1313,392
1194: 1166,1130,45,723,975,1049
637: 956,241,254,647,805,961
1232: 1048,1226
639: 1230,912,1284,1242,355,97
1279: 1179,1029,267,1303
641: 58,1312,540
642: 1287,745,1089,416,468
643: 19,278,268,233,971,1058,568
644: 818,975,1049,1125,507,819,534
645: 508,146,208,1066,1002
646: 1158,932,170,582
647: 254,247,1231,386,241,637
648: 755,1277,1278,380,1037,281
649: 425,134,563,1111,307,803
650: 5,256,320,953
651: 389,1271,1233,926,905,623
652: 541,961,229,830,186
653: 590,8,948,1271,121,1252
1204: 548,712,57,816,883,98
655: 136,229,864,797
656: 418,536,124,1141,829,659
657: 611,715,48,468,109
658: 887,479,813,882,705
659: 744,536,656,937,1141
660: 1102,987,331,532,403
661: 931,482,1297,789,1137,244
662: 1245,396,863,363,1237,741
663: 215,447,607,690,1243,435
664: 453,1260,1265,1299,506,1039
665: 1155,471,565,1272,746,425,273
666: 1230,685,939
667: 344,511,458,178,430,103
668: 154,306,1239,415,367,895
669: 524,246,54,1251,625,108
670: 265,133,1241,293
671: 339,227,36,1053,835,714
672: 560,1173,1316,1289,395,600
673: 1242,744,626,719,240
674: 705,325,1070,329,21,1250
675: 508,146,901,767,1031,214
676: 600,919,1175,1222,1158
677: 837,858,608,498,1214,375
678: 249,46,263,84,799
1302: 1145,35,298,350,514,774
680: 211,1216,1220,682,884,1146
681: 1,1012,1154,1168,1020,1304
682: 884,841,680,1216,196,237
683: 131,954,1293,1183,227,36
684: 1152,621,509,1010,1166,1130
685: 360,939,834,355,1230,666
686: 204,620,188,1190,1091,1018
1128: 1124,24,717,1077,740
688: 495,316,575,431
1275: 493,695,93,1270,203,187
690: 1243,307,803,435,663
691: 1027,876,1097
692: 1027,67,876,457,115
1309: 219,1241,293,385,25
694: 993,345,773,1209,1055,68
695: 493,1275,963,1270,384,793
696: 451,938,225,550,1034,87
697: 728,129,52,806,69,989
1188: 1248,714,385,1131,133,293
699: 629,747,582,555
700: 452,575,431,132,624
1317: 65,33,1291,226
702: 361,913,304,351,526,354
